   0.16016E+00   0.10632E+00  -0.13210E-01   0.00000E+00   0.00000E+00   0.14558E+00  -0.33962E-01   0.58026E-01  -0.46470E-01   0.77341E-01  -0.79785E-01   0.41993E-01  -0.12332E-01
   0.16797E+00   0.10466E+00  -0.12133E-01   0.00000E+00   0.00000E+00   0.14442E+00  -0.32317E-01   0.57976E-01  -0.45476E-01   0.77620E-01  -0.76354E-01   0.44302E-01  -0.11485E-01
   0.17578E+00   0.10291E+00  -0.11013E-01   0.00000E+00   0.00000E+00   0.14312E+00  -0.30574E-01   0.57867E-01  -0.44295E-01   0.77703E-01  -0.72885E-01   0.46587E-01  -0.10416E-01
   0.18359E+00   0.10108E+00  -0.10065E-01   0.00000E+00   0.00000E+00   0.14163E+00  -0.29016E-01   0.57686E-01  -0.43077E-01   0.77517E-01  -0.69479E-01   0.48816E-01  -0.93516E-02
   0.19141E+00   0.99178E-01  -0.90761E-02   0.00000E+00   0.00000E+00   0.14000E+00  -0.27367E-01   0.57433E-01  -0.41657E-01   0.77138E-01  -0.66061E-01   0.50998E-01  -0.80808E-02
   0.19922E+00   0.97206E-01  -0.82935E-02   0.00000E+00   0.00000E+00   0.13820E+00  -0.25956E-01   0.57096E-01  -0.40218E-01   0.76475E-01  -0.62742E-01   0.53096E-01  -0.68677E-02
   0.20703E+00   0.95193E-01  -0.74635E-02   0.00000E+00   0.00000E+00   0.13627E+00  -0.24452E-01   0.56679E-01  -0.38568E-01   0.75614E-01  -0.59433E-01   0.55125E-01  -0.54674E-02
   0.21484E+00   0.93123E-01  -0.68724E-02   0.00000E+00   0.00000E+00   0.13416E+00  -0.23242E-01   0.56170E-01  -0.36931E-01   0.74448E-01  -0.56268E-01   0.57044E-01  -0.41879E-02
   0.22266E+00   0.91035E-01  -0.62185E-02   0.00000E+00   0.00000E+00   0.13195E+00  -0.21931E-01   0.55582E-01  -0.35080E-01   0.73088E-01  -0.53148E-01   0.58876E-01  -0.27428E-02
   0.23047E+00   0.88909E-01  -0.58334E-02   0.00000E+00   0.00000E+00   0.12958E+00  -0.20974E-01   0.54902E-01  -0.33285E-01   0.71422E-01  -0.50234E-01   0.60571E-01  -0.14906E-02
   0.23828E+00   0.86790E-01  -0.53596E-02   0.00000E+00   0.00000E+00   0.12714E+00  -0.19897E-01   0.54153E-01  -0.31280E-01   0.69601E-01  -0.47407E-01   0.62168E-01  -0.92393E-04
   0.24609E+00   0.84651E-01  -0.51825E-02   0.00000E+00   0.00000E+00   0.12457E+00  -0.19234E-01   0.53319E-01  -0.29387E-01   0.67516E-01  -0.44849E-01   0.63610E-01   0.10363E-02
   0.25391E+00   0.82544E-01  -0.48805E-02   0.00000E+00   0.00000E+00   0.12197E+00  -0.18419E-01   0.52435E-01  -0.27290E-01   0.65361E-01  -0.42408E-01   0.64948E-01   0.22990E-02
   0.26172E+00   0.80430E-01  -0.49046E-02   0.00000E+00   0.00000E+00   0.11928E+00  -0.18077E-01   0.51481E-01  -0.25372E-01   0.63016E-01  -0.40283E-01   0.66116E-01   0.32148E-02
   0.26953E+00   0.78368E-01  -0.47617E-02   0.00000E+00   0.00000E+00   0.11661E+00  -0.17538E-01   0.50504E-01  -0.23256E-01   0.60711E-01  -0.38285E-01   0.67184E-01   0.42663E-02
   0.27734E+00   0.76304E-01  -0.49814E-02   0.00000E+00   0.00000E+00   0.11387E+00  -0.17538E-01   0.49478E-01  -0.21394E-01   0.58282E-01  -0.36633E-01   0.68071E-01   0.48951E-02
   0.28516E+00   0.74305E-01  -0.49889E-02   0.00000E+00   0.00000E+00   0.11121E+00  -0.17286E-01   0.48464E-01  -0.19335E-01   0.55978E-01  -0.35098E-01   0.68866E-01   0.56776E-02
   0.29297E+00   0.72298E-01  -0.54049E-02   0.00000E+00   0.00000E+00   0.10847E+00  -0.17646E-01   0.47426E-01  -0.17611E-01   0.53568E-01  -0.33920E-01   0.69473E-01   0.59625E-02
   0.30078E+00   0.70360E-01  -0.55570E-02   0.00000E+00   0.00000E+00   0.10582E+00  -0.17681E-01   0.46438E-01  -0.15686E-01   0.51311E-01  -0.32819E-01   0.69997E-01   0.64358E-02
   0.30859E+00   0.68400E-01  -0.61690E-02   0.00000E+00   0.00000E+00   0.10307E+00  -0.18400E-01   0.45451E-01  -0.14184E-01   0.48909E-01  -0.32050E-01   0.70328E-01   0.63340E-02
   0.31641E+00   0.66508E-01  -0.64525E-02   0.00000E+00   0.00000E+00   0.10041E+00  -0.18687E-01   0.44552E-01  -0.12469E-01   0.46669E-01  -0.31266E-01   0.70585E-01   0.64725E-02
   0.32422E+00   0.64577E-01  -0.72523E-02   0.00000E+00   0.00000E+00   0.97615E-01  -0.19725E-01   0.43675E-01  -0.11277E-01   0.44252E-01  -0.30758E-01   0.70641E-01   0.59530E-02
   0.33203E+00   0.62712E-01  -0.76464E-02   0.00000E+00   0.00000E+00   0.94937E-01  -0.20205E-01   0.42917E-01  -0.98499E-02   0.42046E-01  -0.30148E-01   0.70632E-01   0.57458E-02
   0.33984E+00   0.60792E-01  -0.86251E-02   0.00000E+00   0.00000E+00   0.92089E-01  -0.21534E-01   0.42194E-01  -0.90519E-02   0.39647E-01  -0.29808E-01   0.70412E-01   0.47913E-02
   0.34766E+00   0.58937E-01  -0.91107E-02   0.00000E+00   0.00000E+00   0.89373E-01  -0.22173E-01   0.41607E-01  -0.79792E-02   0.37493E-01  -0.29317E-01   0.70128E-01   0.42441E-02
   0.35547E+00   0.57017E-01  -0.10267E-01   0.00000E+00   0.00000E+00   0.86461E-01  -0.23787E-01   0.41056E-01  -0.76472E-02   0.35106E-01  -0.29109E-01   0.69628E-01   0.28503E-02
   0.36328E+00   0.55161E-01  -0.10828E-01   0.00000E+00   0.00000E+00   0.83697E-01  -0.24557E-01   0.40640E-01  -0.69815E-02   0.32994E-01  -0.28686E-01   0.69056E-01   0.19830E-02
   0.37109E+00   0.53247E-01  -0.12160E-01   0.00000E+00   0.00000E+00   0.80737E-01  -0.26450E-01   0.40248E-01  -0.71752E-02   0.30634E-01  -0.28563E-01   0.68265E-01   0.15518E-03
   0.37891E+00   0.51393E-01  -0.12771E-01   0.00000E+00   0.00000E+00   0.77947E-01  -0.27316E-01   0.39972E-01  -0.69557E-02   0.28612E-01  -0.28186E-01   0.67379E-01  -0.10004E-02
   0.38672E+00   0.49496E-01  -0.14258E-01   0.00000E+00   0.00000E+00   0.74976E-01  -0.29487E-01   0.39696E-01  -0.77258E-02   0.26344E-01  -0.28183E-01   0.66276E-01  -0.32492E-02
   0.39453E+00   0.47629E-01  -0.14866E-01   0.00000E+00   0.00000E+00   0.72143E-01  -0.30423E-01   0.39499E-01  -0.79796E-02   0.24426E-01  -0.27961E-01   0.65034E-01  -0.46506E-02
   0.40234E+00   0.45730E-01  -0.16468E-01   0.00000E+00   0.00000E+00   0.69110E-01  -0.32865E-01   0.39285E-01  -0.93625E-02   0.22167E-01  -0.28195E-01   0.63588E-01  -0.72988E-02
   0.41016E+00   0.43779E-01  -0.17024E-01   0.00000E+00   0.00000E+00   0.66078E-01  -0.33833E-01   0.39096E-01  -0.10087E-01   0.20170E-01  -0.28181E-01   0.61928E-01  -0.88883E-02
   0.41797E+00   0.41813E-01  -0.18736E-01   0.00000E+00   0.00000E+00   0.62808E-01  -0.36523E-01   0.38886E-01  -0.12075E-01   0.17678E-01  -0.28556E-01   0.60096E-01  -0.11895E-01
   0.42578E+00   0.39688E-01  -0.19260E-01   0.00000E+00   0.00000E+00   0.59392E-01  -0.37451E-01   0.38612E-01  -0.13205E-01   0.15441E-01  -0.28450E-01   0.57932E-01  -0.13584E-01
   0.43359E+00   0.37631E-01  -0.21156E-01   0.00000E+00   0.00000E+00   0.55847E-01  -0.40357E-01   0.38309E-01  -0.15725E-01   0.12742E-01  -0.28563E-01   0.55657E-01  -0.16873E-01
   0.44141E+00   0.35350E-01  -0.21700E-01   0.00000E+00   0.00000E+00   0.52201E-01  -0.41137E-01   0.37781E-01  -0.17142E-01   0.10675E-01  -0.27876E-01   0.52878E-01  -0.18541E-01
   0.44922E+00   0.33319E-01  -0.23820E-01   0.00000E+00   0.00000E+00   0.48837E-01  -0.44338E-01   0.37219E-01  -0.20083E-01   0.85902E-02  -0.27794E-01   0.50100E-01  -0.22027E-01
   0.45703E+00   0.30962E-01  -0.24273E-01   0.00000E+00   0.00000E+00   0.45262E-01  -0.45020E-01   0.36211E-01  -0.21675E-01   0.71938E-02  -0.27081E-01   0.46569E-01  -0.23571E-01
   0.46484E+00   0.28981E-01  -0.26399E-01   0.00000E+00   0.00000E+00   0.42116E-01  -0.48618E-01   0.35260E-01  -0.24954E-01   0.57432E-02  -0.27775E-01   0.43221E-01  -0.27182E-01
   0.47266E+00   0.26274E-01  -0.26305E-01   0.00000E+00   0.00000E+00   0.37574E-01  -0.48884E-01   0.33672E-01  -0.26664E-01   0.34598E-02  -0.27853E-01   0.38767E-01  -0.28480E-01
   0.48047E+00   0.24061E-01  -0.27951E-01   0.00000E+00   0.00000E+00   0.33276E-01  -0.51596E-01   0.32344E-01  -0.30206E-01   0.26355E-03  -0.27911E-01   0.34837E-01  -0.31995E-01
